R,R_12,modulation_depth,nuclear_zq_frequency,pair_contribution,intensity
1.0,8.616161616161616,3.590392916432245e-8,-3.1138719311189856e6,-5.232803871511276e-11,0.999999999947672
1.0,8.909090909090908,3.845329781656061e-8,-2.721737754958282e6,-8.554500384396323e-8,0.9999999144549961
1.0,9.202020202020202,4.109075820251389e-8,-2.3894151881883107e6,-1.8659337800891155e-8,0.9999999813406621
1.0,9.494949494949495,4.381606794015872e-8,-2.106291941808011e6,-1.1206436259531285e-7,0.9999998879356374
1.0,9.787878787878787,4.6629018644984626e-8,-1.8638860514048766e6,-2.2803532663825752e-11,0.9999999999771965
1.0,10.080808080808081,4.95294303680034e-8,-1.6553717369559733e6,-1.3700457716244912e-7,0.9999998629954229
1.0,10.373737373737374,5.251714706964001e-8,-1.475220477760654e6,-1.306046645303178e-7,0.9999998693953355
1.0,10.666666666666666,5.559203291349069e-8,-1.3189271026144302e6,-1.960879615115415e-9,0.9999999980391204
1.0,10.95959595959596,5.875396921377839e-8,-1.1827991512985001e6,-3.9852060602487026e-9,0.999999996014794
1.0,11.252525252525253,6.200285190756893e-8,-1.0637937104469799e6,-1.1301056023174351e-7,0.9999998869894398
1.0,11.545454545454545,6.533858945089773e-8,-959390.1484346325,-2.57638829732699e-7,0.9999997423611703
1.0,11.83838383838384,6.876110105935313e-8,-867490.1975753435,-2.0621723045751178e-7,0.9999997937827696
1.0,12.131313131313131,7.227031523009448e-8,-786339.0161690307,-7.363660690256735e-8,0.9999999263633931
1.0,12.424242424242424,7.586616849499556e-8,-714462.4537816264,-9.222257615878969e-9,0.9999999907777424
1.0,12.717171717171718,7.954860436452571e-8,-650616.9109140489,-4.876018705670896e-11,0.9999999999512398
1.0,13.01010101010101,8.331757242975519e-8,-593749.0478776701,-2.916013039329244e-10,0.9999999997083987
1.0,13.303030303030303,8.717302759602588e-8,-542963.2410416773,-1.0237303768582915e-8,0.9999999897626962
1.0,13.595959595959595,9.111492942670153e-8,-497495.1671560501,-4.9954391126268784e-8,0.9999999500456088
1.0,13.88888888888889,9.514324157931594e-8,-456690.2607671254,-1.2472943408532297e-7,0.9999998752705659
1.0,14.181818181818182,9.925793131957277e-8,-419986.0665361953,-2.204756151842549e-7,0.9999997795243848
1.0,14.474747474747474,1.0345896910116623e-7,-386897.7198449874,-3.1572734772224053e-7,0.9999996842726523
1.0,14.767676767676768,1.077463282014503e-7,-357005.9517327756,-3.929063248531012e-7,0.9999996070936752
1.0,15.06060606060606,1.12119984404647e-7,-329947.13996366627,-4.4291954253676275e-7,0.9999995570804575
1.0,15.353535353535353,1.1657991572564754e-7,-305405.0257638905,-4.6453565306440855e-7,0.999999535464347
1.0,15.646464646464647,1.211261021685838e-7,-283103.7921286233,-4.616049199624145e-7,0.99999953839508
1.0,15.93939393939394,1.2575852551526074e-7,-262802.2595482358,-4.4023362864369665e-7,0.9999995597663713
1.0,16.232323232323232,1.3047716913931915e-7,-244289.00229521687,-4.0677776749384397e-7,0.9999995932222325
1.0,16.525252525252526,1.3528201784261299e-7,-227378.22588911152,-3.66743810365959e-7,0.9999996332561897
1.0,16.818181818181817,1.4017305771082956e-7,-211906.27618577052,-3.2437102669642726e-7,0.9999996756289733
1.0,17.11111111111111,1.451502759858102e-7,-197728.67438033107,-2.826232838411555e-7,0.9999997173767161
1.0,17.404040404040405,1.5021366095241195e-7,-184717.59134987096,-2.433775715495007e-7,0.9999997566224285
1.0,17.696969696969695,1.553632018380378e-7,-172759.6901814104,-2.0767449780143715e-7,0.9999997923255022
1.0,17.98989898989899,1.6059888872326135e-7,-161754.2782031159,-1.7595896848183073e-7,0.9999998240410315
1.0,18.282828282828284,1.6592071246215386e-7,-151611.71996185294,-1.4828052992008892e-7,0.99999985171947
1.0,18.575757575757574,1.713286646111423e-7,-142252.07083945713,-1.2444615562664832e-7,0.9999998755538444
1.0,18.86868686868687,1.7682273736536464e-7,-133603.89774402895,-1.0412949905930463e-7,0.999999895870501
1.0,19.161616161616163,1.8240292350164246e-7,-125603.25884422306,-8.694480624344284e-8,0.9999999130551938
1.0,19.454545454545453,1.8806921632728628e-7,-118192.81886643752,-7.24941986888513e-8,0.9999999275058014
1.0,19.747474747474747,1.9382160963407752e-7,-111321.08023221273,-6.03959501005306e-8,0.9999999396040499
1.0,20.04040404040404,1.9966009765682589e-7,-104941.7134241114,-5.0299798373668196e-8,0.9999999497002017
1.0,20.333333333333332,2.0558467503599502e-7,-99012.97255158947,-4.189378821369932e-8,0.9999999581062118
1.0,20.626262626262626,2.1159533678395195e-7,-93497.18423953447,-3.4905838887708564e-8,0.9999999650941611
1.0,20.91919191919192,2.176920782544352e-7,-88360.29975842976,-2.910222306618134e-8,0.9999999708977769
1.0,21.21212121212121,2.2387489511490928e-7,-83571.50181905385,-2.4284401331531217e-8,0.9999999757155986
1.0,21.505050505050505,2.3014378332147778e-7,-79102.85871710695,-2.0285132859209875e-8,0.9999999797148671
1.0,21.7979797979798,2.3649873909611718e-7,-74929.01957558548,-1.696442395149655e-8,0.999999983035576
1.0,22.09090909090909,2.4293975890596113e-7,-71026.94532902626,-1.4205637397372329e-8,0.9999999857943626
1.0,22.383838383838384,2.49466839444445e-7,-67375.6708516599,-1.1911931371643593e-8,0.9999999880880687
1.0,22.67676767676768,2.560799776141196e-7,-63956.09427392146,-1.00031001029153e-8,0.9999999899968999
