x,y,z
-18.99543595324816,-5.456000000000001,-16.99798666974625
-21.051435953248163,-8.913000000000002,-17.972986669746252
-21.843435953248157,-9.005000000000003,-15.66898666974625
-23.542435953248162,-8.716000000000001,-22.55098666974625
-23.864435953248158,-7.109000000000002,-23.648986669746254
-24.24343595324816,-8.508000000000003,-20.66698666974625
-24.36543595324816,-10.028000000000002,-16.84198666974625
-24.93943595324816,-8.346000000000002,-18.414986669746252
-22.883435953248156,-11.803000000000003,-17.43998666974625
-22.090435953248157,-11.895000000000003,-19.743986669746253
-17.666435953248158,-14.404000000000003,-24.665986669746253
-19.459435953248157,-14.115000000000002,-20.62198666974625
-18.896435953248158,-15.849000000000002,-19.05898666974625
-17.38843595324816,-17.565,-19.767986669746254
-16.77843595324816,-17.756000000000004,-22.08598666974625
-17.34443595324816,-16.011000000000003,-23.568986669746252
-16.965435953248157,-14.612000000000002,-26.549986669746254
-29.076435953248158,-11.514000000000003,-12.861986669746251
-30.87043595324816,-11.225000000000003,-8.81798666974625
-30.306435953248158,-12.959000000000003,-7.254986669746251
-28.79843595324816,-14.675000000000002,-7.962986669746253
-28.18843595324816,-14.866000000000003,-10.280986669746252
-28.75543595324816,-13.121000000000002,-11.763986669746252
-28.37543595324816,-11.722000000000003,-14.745986669746252
-27.68043595324816,-11.884000000000002,-16.99798666974625
-31.802000000000003,-8.716,-1.0570000000000004
-33.595,-9.005,2.987000000000001
-33.032000000000004,-7.271000000000001,4.550000000000002
-31.524000000000004,-5.555,3.8409999999999984
-30.914,-5.364000000000001,1.5229999999999997
-31.48,-7.109,0.040000000000000036
-31.101000000000003,-8.508000000000001,-2.9410000000000003
-30.979000000000003,-10.028,-6.766
-30.406000000000002,-8.346,-5.194
-29.925,-11.225000000000001,8.817999999999998
-30.488000000000003,-12.959000000000001,7.255
-25.842000000000002,-5.8260000000000005,10.747
-27.636000000000003,-6.115,14.791
-27.072000000000006,-4.381000000000002,16.354
-25.564000000000004,-2.6650000000000005,15.645999999999997
-24.954000000000004,-2.4740000000000015,13.328
-25.521000000000004,-4.219000000000001,11.844999999999999
-25.141000000000002,-5.618,8.863
-25.019000000000002,-7.138000000000002,5.037999999999999
-24.446,-5.4559999999999995,6.611
-26.502000000000006,-8.913,5.635999999999998
-27.294,-9.005,7.94
-28.993000000000006,-8.716,1.0579999999999998
